,carat,cut,color,clarity,depth,table,price,x,y,z
41435,0.57,Ideal,E,SI1,61.9,56.0,1613,5.33,5.3,3.29
28800,0.41,Ideal,H,VS1,61.8,56.0,750,4.73,4.78,2.94
19882,1.32,Ideal,H,VVS1,62.1,55.0,9572,6.98,7.03,4.35
6140,1.08,Premium,J,SI1,61.0,60.0,4098,6.57,6.62,4.02
6912,1.01,Ideal,I,SI1,60.2,59.0,4241,6.54,6.49,3.92
10520,1.01,Premium,H,VS1,60.9,62.0,5000,6.52,6.49,3.96
11532,1.2,Very Good,J,VS1,63.6,59.0,5257,6.67,6.72,4.26
48956,0.7,Ideal,F,SI1,61.4,57.0,2573,5.67,5.69,3.49
40406,0.31,Ideal,I,VS1,61.2,55.0,507,4.37,4.39,2.68
20589,1.21,Very Good,F,VS2,60.1,58.0,10283,6.85,6.92,4.14
46432,0.5,Ideal,F,VVS2,60.5,56.0,2210,5.15,5.09,3.1
7361,1.01,Premium,G,SI2,60.5,58.0,4327,6.55,6.47,3.94
20072,1.52,Very Good,D,SI2,59.1,58.0,9781,7.45,7.48,4.41
1457,0.91,Very Good,F,SI1,63.1,60.0,3007,6.13,6.1,3.86
5201,0.71,Ideal,F,VVS1,61.8,56.0,3880,5.72,5.74,3.54
42216,0.52,Ideal,E,VS2,61.1,55.0,1689,5.2,5.27,3.2
14511,0.36,Premium,G,SI2,60.8,58.0,608,4.61,4.57,2.79
36415,0.3,Ideal,H,VS2,61.8,58.0,491,4.26,4.28,2.64
45530,0.7,Very Good,F,SI2,62.3,58.0,2070,5.65,5.71,3.54
32440,0.23,Good,F,VVS1,60.3,66.0,472,3.93,3.96,2.38
29016,0.32,Ideal,G,SI2,61.6,56.0,450,4.44,4.46,2.74
1796,0.72,Ideal,F,VS1,62.4,56.0,3084,5.76,5.72,3.58
21749,1.53,Ideal,E,SI1,61.0,55.0,11470,7.44,7.49,4.55
46577,0.64,Ideal,E,VS2,62.0,55.0,2238,5.52,5.55,3.43
3018,0.7,Ideal,D,VS2,61.4,55.0,3360,5.71,5.75,3.52
33436,0.31,Ideal,G,IF,62.6,57.0,924,4.3,4.32,2.7
13371,1.0,Very Good,D,SI1,63.2,60.0,5851,6.31,6.35,4.0
15647,1.41,Premium,J,VS2,62.7,56.0,6754,7.2,7.16,4.5
19258,1.01,Ideal,F,VVS2,59.6,60.0,9040,6.56,6.52,3.9
17432,1.53,Ideal,J,SI1,62.2,58.0,7721,7.35,7.37,4.58
21368,1.25,Ideal,G,VVS2,62.0,59.0,11089,6.88,6.96,4.29
32827,0.41,Very Good,G,VS1,62.3,56.0,899,4.77,4.8,2.98
12212,0.91,Ideal,E,SI1,61.9,55.0,5458,6.21,6.23,3.85
6703,0.9,Ideal,H,VS1,60.9,57.0,4201,6.2,6.24,3.79
35536,0.5,Very Good,F,SI2,62.5,56.0,1020,5.05,5.09,3.17
44950,0.51,Ideal,E,VS2,61.6,55.0,1985,5.15,5.2,3.19
15030,1.32,Premium,H,VS2,61.5,59.0,6505,7.04,7.01,4.32
2645,0.9,Good,E,SI1,62.2,65.0,3274,6.13,6.08,3.8
21794,1.58,Ideal,I,VVS1,61.7,53.0,11526,7.52,7.53,4.65
15780,0.32,Premium,G,SI1,61.6,58.0,612,4.4,4.36,2.7
186,0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6
43430,0.7,Very Good,G,SI2,63.3,57.0,1814,5.61,5.51,3.52
8106,1.31,Premium,J,SI1,60.7,58.0,4475,7.11,7.06,4.3
2166,0.74,Ideal,F,VS1,62.3,56.0,3170,5.79,5.76,3.6
6316,0.91,Premium,H,VS2,62.8,58.0,4128,6.17,6.15,3.87
32534,0.3,Very Good,F,IF,62.4,56.0,886,4.28,4.31,2.68
11398,1.0,Very Good,G,VS2,62.8,57.0,5227,6.33,6.37,3.99
13130,1.68,Good,E,I1,64.3,60.0,5765,7.44,7.48,4.8
49384,0.3,Premium,D,SI1,62.0,60.0,552,4.26,4.29,2.65
30282,0.31,Premium,H,VVS2,61.9,58.0,802,4.33,4.3,2.67
24128,0.32,Ideal,G,VS1,62.0,56.0,645,4.37,4.41,2.72
45628,0.51,Premium,D,VVS2,61.6,59.0,2087,5.12,5.08,3.14
49152,1.01,Premium,J,I1,60.7,59.0,2602,6.42,6.39,3.89
27557,0.31,Good,G,VVS2,63.3,57.0,707,4.28,4.31,2.72
4932,0.93,Good,D,SI1,63.8,59.0,3812,6.21,6.15,3.94
280,0.7,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5
20966,1.21,Ideal,G,VS1,61.3,57.0,10685,6.82,6.87,4.2
20094,0.35,Ideal,I,VVS1,61.8,55.0,627,4.53,4.56,2.81
28565,0.41,Ideal,I,VS2,62.0,57.0,742,4.74,4.77,2.95
39718,0.51,Very Good,E,SI1,60.9,57.0,1357,5.17,5.2,3.16
11097,1.11,Premium,E,SI2,62.6,59.0,5152,6.71,6.65,4.18
29137,0.3,Ideal,G,VVS1,62.0,58.0,764,4.28,4.3,2.66
39067,0.53,Ideal,F,SI1,61.6,54.0,1284,5.23,5.25,3.23
28486,0.36,Ideal,E,VS2,60.7,56.0,738,4.63,4.65,2.82
3723,1.05,Ideal,H,SI2,62.0,57.0,3528,6.54,6.5,4.04
24959,2.14,Very Good,I,VS2,59.7,57.0,16914,8.41,8.48,5.04
33350,0.28,Ideal,H,VS1,62.2,54.0,476,4.18,4.21,2.61
30775,0.34,Very Good,G,VVS1,60.9,57.0,819,4.53,4.56,2.76
3281,0.72,Ideal,H,VVS2,61.8,55.0,3417,5.75,5.77,3.56
44437,0.29,Ideal,G,VS1,61.9,55.0,532,4.25,4.28,2.64
10491,0.4,Very Good,J,VS2,62.9,57.0,596,4.7,4.75,2.97
12539,1.0,Ideal,E,SI1,61.4,58.0,5555,6.41,6.43,3.94
7732,1.06,Ideal,H,SI2,60.1,59.0,4401,6.65,6.63,3.99
43645,0.59,Ideal,F,VS2,61.0,56.0,1828,5.41,5.44,3.31
31386,0.3,Ideal,E,VVS1,62.0,57.0,844,4.29,4.32,2.67
9701,1.04,Ideal,E,SI2,61.4,56.0,4804,6.5,6.56,4.01
25421,2.18,Premium,G,SI2,61.9,60.0,18003,8.29,8.24,5.12
16948,1.34,Very Good,D,SI2,61.7,58.0,7453,7.04,7.1,4.36
6319,1.07,Ideal,F,SI2,61.2,57.0,4128,6.62,6.59,4.04
10118,1.01,Premium,D,SI1,62.7,58.0,4909,6.38,6.34,3.99
17816,1.3,Very Good,G,SI1,61.0,57.0,7985,7.01,7.06,4.29
2845,0.95,Very Good,J,VS2,63.5,56.0,3314,6.24,6.27,3.97
20870,1.21,Ideal,G,VVS2,61.3,57.0,10568,6.83,6.85,4.19
15541,1.08,Ideal,G,VS2,61.3,56.0,6706,6.62,6.59,4.05
41229,0.6,Very Good,H,VS2,64.2,57.0,1597,5.27,5.32,3.4
3578,0.9,Good,H,SI1,63.1,63.0,3484,6.04,6.1,3.83
30923,0.41,Ideal,G,VS2,62.7,56.0,827,4.71,4.76,2.97
38040,0.5,Premium,D,SI2,62.2,58.0,1190,5.08,5.14,3.18
14023,1.21,Premium,H,SI2,58.8,60.0,6098,6.99,6.95,4.1
41880,0.51,Premium,E,VS2,60.3,59.0,1656,5.2,5.22,3.14
29880,0.31,Ideal,G,VVS1,62.0,54.0,789,4.38,4.39,2.72
682,0.33,Premium,J,VS1,61.5,61.0,557,4.46,4.39,2.72
25618,2.38,Premium,H,VS1,60.9,59.0,18522,8.62,8.59,5.24
4230,0.95,Premium,H,SI2,58.8,60.0,3652,6.45,6.38,3.77
5935,1.09,Premium,G,SI2,60.7,57.0,4047,6.72,6.62,4.06
30233,0.31,Premium,H,VVS2,61.2,60.0,802,4.39,4.37,2.68
12899,1.04,Very Good,E,SI1,62.8,59.0,5689,6.46,6.41,4.04
16284,1.3,Very Good,H,VS2,62.5,59.0,7092,6.93,6.96,4.34
5001,1.01,Good,F,SI2,63.0,60.0,3827,6.28,6.35,3.98
2923,0.94,Premium,H,SI2,61.9,57.0,3335,6.29,6.21,3.87
21240,1.35,Premium,F,VS2,61.9,58.0,10962,7.06,7.02,4.36
18094,1.5,Premium,E,SI2,61.7,58.0,8190,7.2,7.17,4.43
49718,0.3,Ideal,D,SI1,61.0,56.0,552,4.35,4.37,2.66
2691,0.74,Premium,E,VS2,62.7,58.0,3285,5.72,5.77,3.6
7827,0.9,Premium,G,VS2,60.0,59.0,4424,6.3,6.23,3.76
4811,0.82,Ideal,H,VVS2,61.4,56.0,3781,6.01,6.05,3.71
36510,0.31,Premium,D,VVS1,61.2,59.0,1075,4.38,4.35,2.67
3446,0.3,Ideal,F,VS2,62.3,58.0,569,4.26,4.23,2.64
28346,0.31,Ideal,D,VS2,61.7,55.0,734,4.35,4.4,2.7
41778,0.6,Ideal,F,SI1,61.5,58.0,1646,5.38,5.41,3.32
8156,0.92,Premium,E,SI1,62.2,58.0,4482,6.23,6.18,3.86
18765,1.05,Premium,G,VVS2,59.5,61.0,8702,6.69,6.63,3.96
17473,1.0,Very Good,G,VS2,61.1,55.0,7743,6.44,6.5,3.95
27183,0.34,Ideal,F,SI2,61.9,57.0,438,4.5,4.52,2.79
39559,0.5,Ideal,E,SI1,61.6,57.0,1337,5.08,5.11,3.14
44924,0.7,Fair,H,VS2,64.9,56.0,1981,5.49,5.51,3.57
44414,0.71,Premium,J,VS2,62.8,61.0,1917,5.71,5.63,3.56
48323,0.79,Premium,H,SI2,60.4,61.0,2471,5.99,5.96,3.61
28781,0.31,Ideal,F,VS2,62.2,56.0,749,4.39,4.36,2.72
44439,0.37,Ideal,I,SI1,60.7,60.0,532,4.6,4.62,2.8
44113,0.52,Ideal,G,VVS1,61.6,56.0,1881,5.16,5.2,3.19
48929,0.7,Very Good,E,SI1,59.1,62.0,2569,5.74,5.8,3.41
1231,0.72,Premium,E,VS1,61.5,60.0,2961,5.79,5.75,3.55
7751,0.93,Good,G,SI1,58.8,61.0,4405,6.36,6.39,3.75
108,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58
40330,0.51,Good,E,VS2,61.1,65.0,1424,5.14,5.11,3.13
22514,1.47,Very Good,E,VS2,62.4,59.0,12547,7.13,7.2,4.47
14146,1.04,Good,G,VS1,58.9,64.0,6151,6.6,6.64,3.9
16839,1.52,Fair,H,SI2,65.0,57.0,7388,7.12,7.09,4.62
48569,0.7,Very Good,G,VS1,60.8,56.0,2512,5.72,5.76,3.49
3529,0.7,Ideal,E,VS1,62.1,56.0,3472,5.7,5.66,3.53
3110,0.3,Ideal,I,VS2,62.4,55.0,407,4.32,4.34,2.7
23597,2.28,Good,J,SI1,63.7,55.0,14220,8.28,8.35,5.3
19753,1.01,Ideal,E,VVS2,60.0,55.0,9479,6.6,6.56,3.95
23129,2.08,Premium,F,SI2,62.0,60.0,13437,8.15,8.1,5.04
45215,0.7,Good,E,SI2,59.9,57.0,2026,5.75,5.8,3.46
24899,1.51,Ideal,F,VVS2,62.6,57.0,16754,7.36,7.25,4.57
38977,0.5,Fair,G,VS1,64.9,57.0,1271,4.98,4.94,3.22
35827,0.44,Premium,H,VS2,61.3,58.0,1040,4.91,4.88,3.0
48852,0.71,Premium,E,SI1,60.8,55.0,2554,5.85,5.8,3.54
33472,0.4,Ideal,E,VVS2,62.5,54.0,926,4.75,4.76,2.97
37983,0.49,Good,F,VS1,59.5,62.0,1182,5.09,5.22,3.06
12498,1.01,Good,H,SI1,60.1,61.0,5544,6.5,6.47,3.9
37632,0.33,Very Good,J,VVS2,62.1,56.0,499,4.44,4.45,2.76
1396,0.81,Premium,D,SI2,61.7,58.0,2994,5.97,5.93,3.67
12358,0.24,Very Good,D,VS1,61.4,58.0,419,3.99,4.02,2.46
44374,0.67,Premium,G,SI1,60.5,60.0,1914,5.69,5.65,3.43
47996,0.7,Ideal,F,SI1,62.0,55.0,2415,5.72,5.7,3.54
18421,1.24,Ideal,D,SI1,60.4,57.0,8457,6.95,7.02,4.22
15557,1.2,Very Good,H,VS1,61.8,56.0,6713,6.82,6.86,4.23
3141,0.31,Good,D,VS2,63.6,56.0,567,4.26,4.32,2.73
49218,0.7,Ideal,E,SI1,60.6,57.0,2614,5.76,5.79,3.5
49182,0.72,Ideal,H,VS1,61.9,56.0,2608,5.78,5.73,3.56
46545,0.51,Ideal,E,VS1,61.4,56.0,2233,5.14,5.16,3.16
16864,1.5,Very Good,J,VS2,62.4,60.0,7402,7.21,7.32,4.53
7336,0.9,Very Good,H,VS1,62.2,57.0,4324,6.1,6.15,3.81
25145,2.02,Ideal,G,SI2,61.7,57.0,17265,8.15,8.1,5.01
34437,0.39,Very Good,E,VVS2,61.9,58.0,971,4.66,4.68,2.89
4289,0.9,Very Good,G,SI1,63.1,59.0,3669,6.15,6.11,3.87
38065,0.41,Ideal,F,VVS2,62.9,54.0,1192,4.74,4.7,2.97
6663,1.01,Premium,F,SI2,61.0,60.0,4197,6.48,6.44,3.94
36962,0.42,Ideal,G,VVS2,62.1,57.0,1103,4.8,4.77,2.97
36710,0.35,Ideal,H,SI1,62.3,57.0,491,4.5,4.55,2.82
17736,1.17,Ideal,F,VS2,61.8,55.0,7927,6.74,6.81,4.19
3202,0.76,Very Good,G,VVS2,61.5,59.0,3394,5.83,5.91,3.61
45847,0.7,Good,I,VS2,63.6,58.0,2117,5.59,5.57,3.55
46888,0.7,Premium,G,SI1,61.6,58.0,2285,5.71,5.65,3.5
41453,0.51,Very Good,D,VS1,58.8,60.0,1616,5.18,5.26,3.07
28055,0.4,Good,F,VS2,64.1,56.0,723,4.65,4.71,3.0
36871,0.39,Ideal,D,VS1,61.9,57.0,1095,4.69,4.71,2.91
30375,0.34,Premium,I,VVS1,60.5,59.0,803,4.54,4.48,2.73
8288,0.91,Good,E,SI1,63.1,58.0,4512,6.12,6.17,3.88
33597,0.62,Premium,G,I1,58.9,60.0,933,5.65,5.54,3.29
17834,1.15,Ideal,G,VS1,61.9,56.0,7999,6.71,6.73,4.16
35232,0.39,Ideal,G,VVS1,62.4,53.6,1008,4.65,4.7,2.92
2323,0.7,Ideal,F,VS1,62.4,56.0,3199,5.67,5.65,3.53
34822,0.39,Ideal,F,VVS2,62.0,54.0,988,4.7,4.72,2.92
31488,0.31,Ideal,H,SI1,62.1,54.0,464,4.37,4.39,2.72
38008,0.41,Ideal,E,VVS2,61.5,55.0,1187,4.79,4.83,2.96
36663,0.32,Ideal,G,VVS1,62.4,56.0,1080,4.39,4.36,2.73
39035,0.53,Ideal,I,VS2,60.3,60.0,1279,5.25,5.22,3.16
37972,0.45,Ideal,G,VVS2,61.8,57.0,1181,4.94,4.9,3.04
24735,2.1,Premium,H,SI2,60.4,59.0,16479,8.28,8.33,5.02
6753,1.01,Very Good,I,SI1,62.7,56.0,4212,6.36,6.43,4.01
8480,1.26,Fair,I,SI2,64.8,57.0,4551,6.73,6.69,4.35
10421,1.2,Premium,H,SI1,62.8,56.0,4980,6.76,6.68,4.22
42517,0.52,Premium,D,SI1,61.4,58.0,1720,5.19,5.16,3.18
19908,1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54
16170,1.05,Ideal,G,VS1,61.3,57.0,7027,6.51,6.58,4.01
46873,0.53,Good,F,VVS2,62.5,65.0,2281,5.11,5.17,3.21
15381,1.04,Good,F,VS1,63.9,55.0,6653,6.49,6.4,4.12
42217,0.52,Ideal,G,VS1,62.7,56.0,1689,5.14,5.16,3.23
42370,0.7,Good,I,SI2,63.4,59.0,1699,5.66,5.57,3.56
24856,2.0,Ideal,E,SI1,62.6,57.0,16650,8.08,8.01,5.04
26699,0.37,Premium,D,SI1,61.9,59.0,681,4.62,4.65,2.87
35397,0.34,Ideal,G,IF,61.9,57.0,1014,4.47,4.48,2.77
34127,0.34,Premium,E,VS2,61.9,58.0,956,4.45,4.43,2.75
4546,1.1,Premium,J,SI2,59.6,59.0,3726,6.74,6.72,4.01
43236,0.59,Ideal,E,SI1,62.9,57.0,1789,5.36,5.33,3.36
33281,0.32,Ideal,G,IF,61.6,55.0,918,4.4,4.43,2.72
43743,0.59,Very Good,H,VVS2,62.3,55.0,1840,5.42,5.33,3.35
6149,0.9,Ideal,H,SI2,61.8,57.0,4101,6.17,6.19,3.82
10688,1.5,Fair,I,I1,65.1,59.0,5040,7.12,6.96,4.58
42707,0.57,Very Good,F,VS1,63.2,56.0,1741,5.27,5.31,3.34
44465,0.52,Ideal,D,VS2,62.6,56.0,1919,5.14,5.11,3.21
38932,0.46,Very Good,E,VS2,59.8,59.6,1267,5.07,5.14,3.05
8632,0.32,Ideal,D,SI1,61.9,57.0,589,4.36,4.4,2.71
49279,0.71,Premium,E,SI1,61.7,61.0,2629,5.76,5.74,3.55
19334,1.25,Very Good,G,VS1,60.7,56.0,9116,6.93,7.01,4.23
34664,0.4,Premium,D,VS2,61.7,59.0,982,4.73,4.76,2.93
13047,1.01,Very Good,D,SI1,62.9,58.0,5731,6.33,6.38,4.0
17595,1.5,Fair,H,SI1,66.1,57.0,7832,7.06,6.98,4.64
24013,2.1,Ideal,H,SI1,61.7,53.0,15035,8.3,8.19,5.09
